County,Year,Count ,Rate,SVI,E_TOTPOP
ANDROSCOGGIN,2016,0,0,0.9333,107958
ANDROSCOGGIN,2017,1,0.9,0.8667,67431
ANDROSCOGGIN,2018,2,1.9,0.2667,294520
ANDROSCOGGIN,2019,1,0.9,0.6,29933
ANDROSCOGGIN,2020,1,0.9,0.1333,54832
ANDROSCOGGIN,2021,1,0.9,0.5333,122158
ANDROSCOGGIN,2022,18,15.9,0,39809
ANDROSCOGGIN,2023,24,21.1,0.2,34415
AROOSTOOK ,2016,0,0,0.4667,57741
AROOSTOOK ,2017,0,0,0.7333,151696
AROOSTOOK ,2018,0,0,0.8,16864
AROOSTOOK ,2019,12,17.9,0.0667,35720
AROOSTOOK ,2020,10,14.9,0.6667,50573
AROOSTOOK ,2021,0,0,0.4,39723
AROOSTOOK ,2022,1,1.5,1,31378
AROOSTOOK ,2023,0,0,0.3333,206074
CUMBERLAND,2016,2,0.7,,
CUMBERLAND,2017,0,0,,
CUMBERLAND,2018,4,1.4,,
CUMBERLAND,2019,4,1.4,,
CUMBERLAND,2020,3,1,,
CUMBERLAND,2021,2,0.7,,
CUMBERLAND,2022,1,0.3,,
CUMBERLAND,2023,25,8.1,,
FRANKLIN ,2016,0,0,,
FRANKLIN ,2017,0,0,,
FRANKLIN ,2018,0,0,,
FRANKLIN ,2019,1,3.3,,
FRANKLIN ,2020,2,6.6,,
FRANKLIN ,2021,1,3.4,,
FRANKLIN ,2022,1,3.3,,
FRANKLIN ,2023,1,3.2,,
HANCOCK,2016,1,1.8,,
HANCOCK,2017,2,3.7,,
HANCOCK,2018,0,0,,
HANCOCK,2019,0,0,,
HANCOCK,2020,5,9.1,,
HANCOCK,2021,0,0,,
HANCOCK,2022,1,1.8,,
HANCOCK,2023,0,0,,
KENNEBEC,2016,2,1.7,,
KENNEBEC,2017,2,1.6,,
KENNEBEC,2018,0,0,,
KENNEBEC,2019,12,9.8,,
KENNEBEC,2020,4,3.3,,
KENNEBEC,2021,10,8,,
KENNEBEC,2022,14,11.2,,
KENNEBEC,2023,3,2.4,,
KNOX,2016,0,0,,
KNOX,2017,0,0,,
KNOX,2018,0,0,,
KNOX,2019,2,5,,
KNOX,2020,2,5,,
KNOX,2021,1,2.4,,
KNOX,2022,1,2.4,,
KNOX,2023,0,0,,
LINCOLN,2016,0,0,,
LINCOLN,2017,0,0,,
LINCOLN,2018,0,0,,
LINCOLN,2019,0,0,,
LINCOLN,2020,0,0,,
LINCOLN,2021,3,8.4,,
LINCOLN,2022,2,5.5,,
LINCOLN,2023,0,0,,
OXFORD ,2016,0,0,,
OXFORD ,2017,0,0,,
OXFORD ,2018,0,0,,
OXFORD ,2019,2,3.4,,
OXFORD ,2020,3,5.2,,
OXFORD ,2021,0,0,,
OXFORD ,2022,1,1.7,,
OXFORD ,2023,1,1.7,,
PENOBSCOT ,2016,1,0.7,,
PENOBSCOT ,2017,2,1.3,,
PENOBSCOT ,2018,0,0,,
PENOBSCOT ,2019,2,1.3,,
PENOBSCOT ,2020,52,34.2,,
PENOBSCOT ,2021,10,6.5,,
PENOBSCOT ,2022,2,1.3,,
PENOBSCOT ,2023,1,0.6,,
PISCATAQUIS ,2016,0,0,,
PISCATAQUIS ,2017,0,0,,
PISCATAQUIS ,2018,0,0,,
PISCATAQUIS ,2019,0,0,,
PISCATAQUIS ,2020,21,125.1,,
PISCATAQUIS ,2021,5,29.1,,
PISCATAQUIS ,2022,1,5.7,,
PISCATAQUIS ,2023,0,0,,
SAGADAHOC,2016,0,0,,
SAGADAHOC,2017,0,0,,
SAGADAHOC,2018,0,0,,
SAGADAHOC,2019,0,0,,
SAGADAHOC,2020,0,0,,
SAGADAHOC,2021,0,0,,
SAGADAHOC,2022,5,13.4,,
SAGADAHOC,2023,0,0,,
SOMERSET,2016,0,0,,
SOMERSET,2017,0,0,,
SOMERSET,2018,2,4,,
SOMERSET,2019,2,4,,
SOMERSET,2020,14,27.7,,
SOMERSET,2021,4,7.9,,
SOMERSET,2022,14,27.4,,
SOMERSET,2023,0,0,,
WALDO ,2016,1,2.5,,
WALDO ,2017,0,0,,
WALDO ,2018,0,0,,
WALDO ,2019,0,0,,
WALDO ,2020,9,22.7,,
WALDO ,2021,2,5,,
WALDO ,2022,1,2.5,,
WALDO ,2023,0,0,,
WASHINGTON,2016,0,0,,
WASHINGTON,2017,0,0,,
WASHINGTON,2018,0,0,,
WASHINGTON,2019,1,3.2,,
WASHINGTON,2020,2,6.4,,
WASHINGTON,2021,8,25.7,,
WASHINGTON,2022,0,0,,
WASHINGTON,2023,0,0,,
YORK,2016,1,0.5,,
YORK,2017,0,0,,
YORK,2018,1,0.5,,
YORK,2019,6,2.9,,
YORK,2020,17,8.2,,
YORK,2021,3,1.4,,
YORK,2022,1,0.5,,
YORK,2023,5,2.3,,
